age,job,marital,education,default,housing,loan,y
40,blue-collar,married,basic.9y,no,yes,no,no
28,admin.,single,university.degree,no,yes,no,yes
37,blue-collar,married,professional.course,no,yes,yes,no
30,admin.,single,high.school,no,no,yes,yes
33,services,single,high.school,no,yes,no,no
30,blue-collar,married,basic.9y,no,no,no,no
44,blue-collar,married,basic.4y,no,yes,no,no
36,admin.,married,high.school,no,no,no,no
31,entrepreneur,single,basic.9y,no,no,no,no
31,entrepreneur,married,high.school,no,yes,no,no
33,unemployed,married,basic.9y,no,no,no,yes
44,management,single,high.school,no,yes,no,yes
30,blue-collar,married,basic.9y,no,no,yes,no
41,technician,married,professional.course,no,yes,no,yes
28,self-employed,single,basic.9y,no,yes,no,no
27,admin.,single,high.school,no,yes,no,no
42,admin.,single,university.degree,no,no,no,yes
28,admin.,single,basic.9y,no,yes,yes,no
32,blue-collar,married,basic.9y,no,yes,no,no
47,admin.,divorced,high.school,no,no,no,yes
29,admin.,single,high.school,no,yes,no,yes
29,admin.,single,high.school,no,yes,no,yes
32,technician,single,high.school,no,yes,no,no
25,technician,single,university.degree,no,yes,no,no
39,admin.,single,high.school,no,yes,no,no
32,technician,single,professional.course,no,no,no,yes
50,technician,married,professional.course,no,yes,no,no
58,services,divorced,professional.course,no,yes,no,no
29,technician,single,professional.course,no,yes,no,yes
40,admin.,married,university.degree,no,yes,no,yes
28,admin.,single,university.degree,no,yes,no,yes
26,services,single,high.school,no,no,no,no
30,technician,married,professional.course,no,no,no,no
35,management,married,university.degree,no,yes,yes,no
39,admin.,married,high.school,no,no,no,yes
36,blue-collar,single,high.school,no,yes,yes,yes
27,blue-collar,single,basic.6y,no,no,no,no
45,technician,married,university.degree,no,no,no,no
33,technician,married,professional.course,no,no,no,no
40,services,single,high.school,no,yes,no,no
27,admin.,single,university.degree,no,yes,no,yes
59,retired,married,professional.course,no,yes,no,yes
37,technician,single,university.degree,no,no,no,no
67,housemaid,divorced,professional.course,no,yes,no,yes
53,services,married,high.school,no,yes,yes,no
42,admin.,married,university.degree,no,no,no,no
58,services,married,basic.4y,no,no,no,no
47,blue-collar,married,basic.6y,no,yes,no,yes
40,technician,married,high.school,no,no,no,no
27,technician,single,professional.course,no,no,no,no
25,services,single,high.school,no,yes,no,yes
31,admin.,single,university.degree,no,yes,no,no
33,admin.,married,high.school,no,yes,no,yes
35,technician,divorced,basic.4y,no,yes,no,yes
29,management,single,university.degree,no,yes,no,no
38,admin.,married,high.school,no,no,no,yes
34,technician,single,university.degree,no,no,no,yes
36,admin.,married,high.school,no,no,no,no
49,blue-collar,married,basic.9y,no,yes,no,no
43,admin.,married,high.school,no,yes,no,no
33,services,married,basic.4y,no,no,no,no
53,admin.,married,university.degree,no,no,yes,no
42,management,single,university.degree,no,yes,no,yes
65,retired,married,university.degree,no,no,no,yes
27,admin.,single,university.degree,no,no,no,yes
33,technician,single,professional.course,no,yes,yes,no
49,self-employed,married,basic.9y,no,yes,no,no
30,admin.,single,high.school,no,yes,no,yes
35,services,divorced,university.degree,no,no,yes,yes
29,admin.,single,professional.course,no,no,no,yes
28,admin.,divorced,high.school,no,no,yes,no
40,entrepreneur,married,high.school,no,no,yes,no
33,admin.,single,high.school,no,yes,no,yes
24,student,single,high.school,no,no,no,yes
25,unemployed,single,university.degree,no,yes,no,yes
58,management,married,basic.6y,no,yes,no,no
